Designator,Val,Package,Mid X,Mid Y,Rotation,Placement
J1,PC disk controller interface,PinHeader_2x17_P2.54mm_Vertical,184.912000,33.782000,180.000000,top
J2,IBM Diskette Host power,PinHeader_2x18_P2.54mm_Vertical,116.332000,31.242000,180.000000,top
J3,IBM 51TD Diskette unit,PinHeader_2x18_P2.54mm_Vertical,125.222000,31.242000,180.000000,top
J4,Alternative power connector,PinHeader_1x05_P2.54mm_Vertical,136.652000,37.592000,90.000000,top
JP1,External override,PinHeader_1x02_P2.54mm_Vertical,170.820000,74.930000,-90.000000,top
Q1,SS8050,SOT-23,162.822000,57.921300,90.000000,top
R1,1K,R_0603_1608Metric,177.292000,74.422000,0.000000,top
R2,1K,R_0603_1608Metric,177.292000,71.882000,0.000000,top
R3,1K,R_0603_1608Metric,177.292000,69.342000,0.000000,top
R4,1K,R_0603_1608Metric,177.292000,64.262000,0.000000,top
R5,1K,R_0603_1608Metric,177.292000,61.722000,0.000000,top
R6,1K,R_0603_1608Metric,177.292000,59.182000,0.000000,top
R7,1K,R_0603_1608Metric,177.292000,56.642000,0.000000,top
R8,1K,R_0603_1608Metric,177.292000,54.102000,0.000000,top
R9,1K,R_0603_1608Metric,177.292000,51.562000,0.000000,top
R10,1K,R_0603_1608Metric,177.292000,49.022000,0.000000,top
R11,1K,R_0603_1608Metric,177.292000,46.482000,0.000000,top
R12,1K,R_0603_1608Metric,153.987000,58.831000,180.000000,top
R13,"4,7K",R_0603_1608Metric,177.292000,66.802000,0.000000,top
R14,10K,R_0603_1608Metric,129.921000,52.832000,0.000000,top
SW1,Reset,SW_Push_1P1T_NO_6x6mm_H9.5mm,158.242000,65.181000,180.000000,top
SW2,Write prot,SW-TH_K3-2235S-K1,169.672000,65.024000,90.000000,top
SW3,Write protection EXTERNAL,PinHeader_2x03_P2.54mm_Vertical CUSTOM,155.590000,73.411000,90.000000,top
U1,74LS08,SO-14_3.9x8.65mm_P1.27mm,159.350000,36.225000,0.000000,top
U2,74LS02,SO-14_3.9x8.65mm_P1.27mm,168.402000,49.941000,-90.000000,top
U3,74LS06,SO-14_3.9x8.65mm_P1.27mm,156.972000,49.941000,-90.000000,top
U4,74LS74,SO-14_3.9x8.65mm_P1.27mm,172.050000,36.225000,180.000000,top
